Language,Topic,Question,A,B,C,D,Answer,Upvotes,Downvotes
Hindi,Science,पृथ्वी का सबसे नजदीकी ग्रह कौन सा है?,मंगल,शुक्र,बृहस्पति,शनि,b) शुक्र,1,
Hindi,Science,जल का रासायनिक सूत्र क्या है?,CO2,H2O,NaCl,O2,b) H2O,1,
Hindi,Science,मानव शरीर में सबसे बड़ी हड्डी कौन सी है?,फीमर (जांघ की हड्डी),रेडियस,उल्ना,टिबिया,a) फीमर (जांघ की हड्डी),1,
Hindi,Science,किस ग्रह को 'लाल ग्रह' के नाम से जाना जाता है?,शुक्र,पृथ्वी,मंगल,बृहस्पति,c) मंगल,1,
Hindi,Science,पौधों में प्रकाश संश्लेषण की प्रक्रिया मुख्यत: किस भाग में होती है?,जड़ें,तना,पत्तियां,फूल,c) पत्तियां,1,
Hindi,Science,विटामिन C का मुख्य स्रोत क्या है?,दूध,मछली,संतरा,चावल,c) संतरा,1,
Hindi,Science,इंसान के शरीर में कौन सा अंग रक्त को शुद्ध करता है?,दिल,फेफड़े,लिवर,गुर्दे (किडनी),d) गुर्दे (किडनी),1,
Hindi,Science,कौन सा ग्रह सौरमंडल में सबसे बड़ा है?,पृथ्वी,शुक्र,मंगल,बृहस्पति,d) बृहस्पति,1,
Hindi,Science,ध्वनि की गति सबसे तेज किसमें होती है?,जल में,वायु में,खाली जगह में,ठोस में,d) ठोस में,1,
Hindi,Science,सूर्य का मुख्य घटक कौन सा तत्व है?,हीलियम,हाइड्रोजन,ऑक्सीजन,कार्बन,b) हाइड्रोजन,1,
Hindi,Science,रक्त का कौन सा घटक घाव भरने में मदद करता है?,प्लाज्मा,लाल रक्त कोशिकाएँ,श्वेत रक्त कोशिकाएँ,प्लेटलेट्स,d) प्लेटलेट्स,1,
Hindi,Science,एक पूर्ण चंद्र ग्रहण कब होता है?,जब पृथ्वी सूर्य और चंद्रमा के बीच में होती है,जब चंद्रमा पृथ्वी और सूर्य के बीच में होता है,जब सूर्य चंद्रमा और पृथ्वी के बीच में होता है,जब पृथ्वी और चंद्रमा के बीच सूर्य होता है,a) जब पृथ्वी सूर्य और चंद्रमा के बीच में होती है,1,
Hindi,Science,"विज्ञान में, 'ऑस्मोसिस' क्या है?",गैसों का मिश्रण,द्रवों में पदार्थों का घुलना,जलीय विलयन के माध्यम से अणुओं का स्थानांतरण,ऊर्जा का उत्पादन,c) जलीय विलयन के माध्यम से अणुओं का स्थानांतरण,1,
Hindi,Science,पारिस्थितिकी तंत्र' में क्या शामिल होता है?,केवल जीवित प्राणी,केवल अजीवित तत्व,जीवित और अजीवित दोनों प्रकार के तत्व,केवल वायुमंडल,c) जीवित और अजीवित दोनों प्रकार के तत्व,1,
Hindi,Science,बायोडाइवर्सिटी' का अर्थ क्या है?,जीवों की समानता,जीवों की विविधता,जीवों का संरक्षण,जीवों का विलुप्त होना,b) जीवों की विविधता,1,
Hindi,Social Science,भारत का सबसे बड़ा राज्य कौन सा है?,राजस्थान,महाराष्ट्र,उत्तर प्रदेश,मध्य प्रदेश,a) राजस्थान,1,
Hindi,Social Science,भारत की सबसे लंबी नदी कौन सी है?,गंगा,यमुना,गोदावरी,ब्रह्मपुत्र,a) गंगा,1,
Hindi,Social Science,भारत की सबसे ऊँची चोटी कौन सी है?,कंचनजंगा,नंदा देवी,माउंट एवरेस्ट,कामेत,a) कंचनजंगा,1,
Hindi,Social Science,भारत का सबसे बड़ा द्वीप कौन सा है?,अंडमान,लक्षद्वीप,माजुली,निकोबार,a) अंडमान,1,
Hindi,Social Science,किस राज्य में थार मरुस्थल स्थित है?,गुजरात,राजस्थान,पंजाब,हरियाणा,b) राजस्थान,1,
Hindi,Social Science,भारत का राष्ट्रीय पशु कौन सा है?,हाथी,बाघ,शेर,गैंडा,b) बाघ,1,
Hindi,Social Science,सुंदरबन डेल्टा मुख्यत: किस राज्य में स्थित है?,ओडिशा,पश्चिम बंगाल,आंध्र प्रदेश,तमिलनाडु,b) पश्चिम बंगाल,1,
Hindi,Social Science,भारत का सबसे बड़ा बांध कौन सा है?,भाखड़ा नांगल,हीराकुंड,तिहरी,सरदार सरोवर,c) तिहरी,1,
Hindi,Social Science,किस राज्य में चिल्का झील स्थित है?,केरल,तमिलनाडु,ओडिशा,कर्नाटक,c) ओडिशा,1,
Hindi,Social Science,भारत की सबसे लंबी सुरंग कौन सी है?,चेनानी-नाशरी,जवाहर टनल,पीर पंजाल,अटल टनल,d) अटल टनल,1,
Hindi,Social Science,भारत का सबसे बड़ा झील कौन सी है?,वुलर झील,चिल्का झील,दल झील,सांभर झील,b) चिल्का झील,1,
Hindi,Social Science,भारत में कितने राज्य हैं?,28,29,30,31,b) 29,1,
Hindi,Social Science,भारत की राष्ट्रीय नदी कौन सी है?,गंगा,यमुना,ब्रह्मपुत्र,गोदावरी,a) गंगा,1,
Hindi,Social Science,भारत का सबसे छोटा राज्य कौन सा है?,सिक्किम,गोवा,मणिपुर,त्रिपुरा,b) गोवा,1,
Hindi,Social Science,भारत की पहली ट्रेन किस शहर से चली थी?,दिल्ली से,कोलकाता से,चेन्नई से,मुंबई से,d) मुंबई से,1,
Hindi,Mathematics,2+2 का योग क्या होगा?,3,4,5,6,b) 4,1,
Hindi,Mathematics,एक वृत्त की परिधि की गणना कैसे की जाती है?,πr2,2πr,πr,2r2,b) 2πr,1,
Hindi,Mathematics,"यदि x=3 हो, तो x2 का मान क्या होगा?",6,9,12,15,b) 9,1,
Hindi,Mathematics,81​ का मान क्या है?,7,8,9,10,c) 9,1,
Hindi,Mathematics,एक समकोण त्रिकोण के समकोण का माप क्या होता है?,45°,60°,90°,180°,c) 90°,1,
Hindi,Mathematics,7×8 का उत्तर क्या होगा?,54,55,56,57,c) 56,1,
Hindi,Mathematics,एक आयत का क्षेत्रफल कैसे निकाला जाता है?,लंबाई + चौड़ाई,लंबाई x चौड़ाई,लंबाई / चौड़ाई,2(लंबाई + चौड़ाई),b) लंबाई x चौड़ाई,1,
Hindi,Mathematics,"यदि a=5 और b=3 हो, तो a−b का मान क्या होगा?",1,2,3,8,b) 2,1,
Hindi,Mathematics,"एक घन के छह फेस होते हैं, तो इसके कितने कोने होंगे?",6,8,12,18,b) 8,1,
Hindi,Mathematics,33 का मान क्या है?,9,27,81,243,b) 27,1,
Hindi,Mathematics,50% का मान क्या होता है?,0.5,5,50,500,a) 0.5,1,
Hindi,Mathematics,15÷3 का उत्तर क्या होगा?,3,4,5,6,c) 5,1,
Hindi,Mathematics,"यदि एक संख्या को 0 से गुणा किया जाए, तो उत्तर क्या होगा?",0,1,संख्या,अनंत,a) 0,1,
Hindi,Mathematics,102 का मान क्या है?,10,100,1000,10000,b) 100,1,
Hindi,Mathematics,एक दशमलव 0.1 का प्रतिशत में मान क्या होगा?,0.10%,1%,10%,100%,c) 10%,1,
Hindi,Literature,गोदान' उपन्यास के लेखक कौन हैं?,प्रेमचंद,हरिवंशराय बच्चन,रवींद्रनाथ टैगोर,जयशंकर प्रसाद,a) प्रेमचंद,1,
Hindi,Literature,मधुशाला' किसकी रचना है?,सुमित्रानंदन पंत,जयशंकर प्रसाद,हरिवंशराय बच्चन,मैथिलीशरण गुप्त,c) हरिवंशराय बच्चन,1,
Hindi,Literature,चिदंबरा' कविता संग्रह के रचयिता कौन हैं?,सूर्यकांत त्रिपाठी 'निराला',रामधारी सिंह 'दिनकर',सुमित्रानंदन पंत,महादेवी वर्मा,c) सुमित्रानंदन पंत,1,
Hindi,Literature,कामायनी' के लेखक कौन हैं?,जयशंकर प्रसाद,रवींद्रनाथ टैगोर,सुमित्रानंदन पंत,मैथिलीशरण गुप्त,a) जयशंकर प्रसाद,1,
Hindi,Literature,रश्मिरथी' किसकी कृति है?,रामधारी सिंह 'दिनकर',सूर्यकांत त्रिपाठी 'निराला',हरिवंशराय बच्चन,महादेवी वर्मा,a) रामधारी सिंह 'दिनकर',1,
Hindi,Literature,तुलसीदास' किस युग के कवि थे?,रीति काल,आधुनिक काल,भक्ति काल,वीरगाथा काल,c) भक्ति काल,1,
Hindi,Literature,उर्वशी' कविता के रचयिता कौन हैं?,रामधारी सिंह 'दिनकर',सूर्यकांत त्रिपाठी 'निराला',हरिवंशराय बच्चन,मैथिलीशरण गुप्त,a) रामधारी सिंह 'दिनकर',1,
Hindi,Literature,कबीर' किस युग के संत कवि थे?,भक्ति काल,रीति काल,आधुनिक काल,वीरगाथा काल,a) भक्ति काल,1,
Hindi,Literature,साकेत' उपन्यास के लेखक कौन हैं?,मैथिलीशरण गुप्त,जयशंकर प्रसाद,सुमित्रानंदन पंत,हरिवंशराय बच्चन,a) मैथिलीशरण गुप्त,1,
Hindi,Literature,अनामिका' किसकी रचना है?,सूर्यकांत त्रिपाठी 'निराला',रामधारी सिंह 'दिनकर',महादेवी वर्मा,जयशंकर प्रसाद,c) महादेवी वर्मा,1,
Hindi,Literature,गीतांजलि' के रचयिता कौन हैं?,रवींद्रनाथ टैगोर,सुमित्रानंदन पंत,हरिवंशराय बच्चन,मैथिलीशरण गुप्त,a) रवींद्रनाथ टैगोर,1,
Hindi,Literature,मैला आँचल' उपन्यास के लेखक कौन हैं?,फणीश्वरनाथ रेणु,जयशंकर प्रसाद,हरिवंशराय बच्चन,रामधारी सिंह 'दिनकर',a) फणीश्वरनाथ रेणु,1,
Hindi,Literature,चरणदास चोर' के नाटककार कौन हैं?,हबीब तनवीर,विजय तेंदुलकर,गिरीश कर्नाड,मोहन राकेश,a) हबीब तनवीर,1,
Hindi,Literature,ध्रुवस्वामिनी' नाटक के रचयिता कौन हैं?,जयशंकर प्रसाद,रवींद्रनाथ टैगोर,मैथिलीशरण गुप्त,हरिवंशराय बच्चन,a) जयशंकर प्रसाद,1,
Hindi,Literature,आषाढ़ का एक दिन' के लेखक कौन हैं?,मोहन राकेश,हबीब तनवीर,गिरीश कर्नाड,विजय तेंदुलकर,a) मोहन राकेश,1,
Malayalam,Science,പ്രകാശം എത്ര വേഗത്തിൽ യാത്ര ചെയ്യുന്നു?,3 ലക്ഷം കി.മീ/സെക്കന്റ്,2 ലക്ഷം കി.മീ/സെക്കന്റ്,1 ലക്ഷം കി.മീ/സെക്കന്റ്,4 ലക്ഷം കി.മീ/സെക്കന്റ്,a) 3 ലക്ഷം കി.മീ/സെക്കന്റ്,1,
Malayalam,Science,ജലം തിളയ്ക്കുന്നത് എത്ര ഡിഗ്രി സെൽസിയസിൽ?,90°,100°,80°,120°,b) 100°,1,
Malayalam,Science,ആവർത്തന പട്ടികയിലെ ആദ്യ മൂലകം ഏത്?,ഹീലിയം,ഹൈഡ്രജൻ,ലിഥിയം,ബെറിലിയം,b) ഹൈഡ്രജൻ,1,
Malayalam,Science,ചന്ദ്രനിലെ ഗുരുത്വാകർഷണം ഭൂമിയിലെത്തിന്റെ എത്ര ഭാഗമാണ്?,6-Jan,2-Jan,4-Jan,8-Jan,a) 1/6,0,
Malayalam,Science,ആർക്കിമിഡീസിന്റെ നിയമം ഏത് ശാസ്ത്ര മേഖലയിൽ പെടുന്നു?,ഭൗതികശാസ്ത്രം,ജ്യോതിശാസ്ത്രം,രസതന്ത്രം,ജീവശാസ്ത്രം,a) ഭൗതികശാസ്ത്രം,1,
Malayalam,Science,ആദ്യത്തെ കൃത്രിമ ഉപഗ്രഹം ഏത്?,അപ്പോളോ 11,സ്പുട്നിക് 1,ഹബ്ബിൾ,ഇന്റർനാഷണൽ സ്പേസ് സ്റ്റേഷൻ,b) സ്പുട്നിക് 1,1,
Malayalam,Science,ജലം എത്ര മൂലകങ്ങളുടെ സംയോജനമാണ്?,2,3,1,4,a) 3,1,
Malayalam,Science,ഓസോൺ പാളി ഏത് വായുമണ്ഡല പാളിയിലാണ് സ്ഥിതി ചെയ്യുന്നത്?,ട്രോപ്പോസ്ഫിയർ,സ്ട്രാറ്റോസ്ഫിയർ,മെസോസ്ഫിയർ,തെർമോസ്ഫിയർ,b) സ്ട്രാറ്റോസ്ഫിയർ,1,
Malayalam,Science,ഡി.എൻ.എ കണ്ടെത്തിയത് ആര്?,വാട്സൺ ആൻഡ് ക്രിക്ക്,മെൻഡൽ,ഡാർവിൻ,ന്യൂട്ടൺ,a) വാട്സൺ ആൻഡ് ക്രിക്ക്,1,
Malayalam,Science,ഭൂമിയുടെ ആന്തരിക കോരിന്റെ ഘടന എന്താണ്?,ദ്രാവകം,ഘനം,ഗ്യാസ്,പ്ലാസ്മ,b) ഘനം,1,
Malayalam,Science,വിറ്റാമിൻ C ഏത് ഭക്ഷണവസ്തുവിൽ ധാരാളമാണ്?,പഴങ്ങൾ,മീൻ,മാംസം,പാൽ,a) പഴങ്ങൾ,1,
Malayalam,Science,സൂര്യനിൽ ഏറ്റവും അധികം ഉള്ള മൂലകം ഏത്?,ഹീലിയം,ഓക്സിജൻ,ഹൈഡ്രജൻ,കാർബൺ,c) ഹൈഡ്രജൻ,1,
Malayalam,Science,ഫോട്ടോസിന്തെസിസ് നടക്കുന്ന സസ്യഭാഗം ഏത്?,വേരുകൾ,ഇലകൾ,പൂക്കൾ,കായ്കൾ,b) ഇലകൾ,1,
Malayalam,Science,ഒരു ആണവായുധത്തിൽ പ്രധാനമായും ഉപയോഗിക്കുന്ന മൂലകം ഏത്?,പ്ലൂട്ടോണിയം,യുറേനിയം,ലിഥിയം,ബെറിലിയം,b) യുറേനിയം,1,
Malayalam,Social Science,ഇന്ത്യയിലെ ആദ്യത്തെ വിദേശ ആക്രമണക്കാർ ആരാണ്?,ഗ്രീക്കുകാർ,പേർഷ്യക്കാർ,മൊഗളുകൾ,അറബികൾ,b) പേർഷ്യക്കാർ,1,
Malayalam,Social Science,മൗര്യ സാമ്രാജ്യം സ്ഥാപിച്ചത് ആരാണ്?,അശോകൻ,ചന്ദ്രഗുപ്ത മൗര്യൻ,ഹര്ഷവർധനൻ,അക്ബർ,b) ചന്ദ്രഗുപ്ത മൗര്യൻ,1,
Malayalam,Social Science,ഹരപ്പാ നാഗരികത ഏത് നദിയുടെ തീരത്താണ് വികസിച്ചത്?,ഗംഗ,സിന്ധു,യമുന,സർസ്വതി,b) സിന്ധു,1,
Malayalam,Social Science,ഇന്ത്യയുടെ ഒന്നാം സ്വാതന്ത്ര്യ സമരം എന്ന് ഏത് സമരത്തെയാണ് വിളിക്കുന്നത്?,1857-ലെ വിപ്ലവം,1942-ലെ ക്വിറ്റ് ഇന്ത്യ പ്രസ്ഥാനം,1920-ലെ നോൺ കോ-ഓപ്പറേഷൻ പ്രസ്ഥാനം,1930-ലെ ദണ്ഡി യാത്ര,a) 1857-ലെ വിപ്ലവം,1,
Malayalam,Social Science,ഇന്ത്യയിലെ ആദ്യ ജനിതകം എഞ്ചിനീയർ ചെയ്ത വിള ഏതാണ്?,നെല്ല്,പരുത്തി,ബാജ്റ,വാഴ,b) പരുത്തി,1,
Malayalam,Social Science,ബുദ്ധമതം ആരംഭിച്ചത് ഏത് സ്ഥലത്താണ്?,ബോധ്ഗയ,സാർനാഥ്,കുശിനഗർ,ലുംബിനി,d) ലുംബിനി,1,
Malayalam,Social Science,മുഗളസാമ്രാജ്യം സ്ഥാപിച്ചത് ആരാണ്?,ഹുമയൂൺ,അക്ബർ,ബാബർ,ഷാജഹാൻ,c) ബാബർ,1,
Malayalam,Social Science,ചോള രാജവംശം ഏത് പ്രദേശത്തെയാണ് ഭരിച്ചിരുന്നത്?,തമിഴ്നാട്,കേരളം,ആന്ധ്രപ്രദേശ്,കർണാടക,a) തമിഴ്നാട്,1,
Malayalam,Social Science,ജലിയാൻവാലാ ബാഗ് കൂട്ടക്കൊല നടന്ന വർഷം ഏതാണ്?,1919,1920,1947,1857,a) 1919,1,
Malayalam,Social Science,ഇന്ത്യയുടെ ആദ്യ ഗവർണർ ജനറൽ ആരാണ്?,വാറൻ ഹേസ്റ്റിംഗ്സ്,ലോർഡ് കാനിംഗ്,ലോർഡ് ഡൽഹൗസി,ലോർഡ് മൗണ്ട്ബാറ്റൺ,a) വാറൻ ഹേസ്റ്റിംഗ്സ്,1,
Malayalam,Social Science,ഇന്ത്യയുടെ ആദ്യ വൈസ്രോയി ആരാണ്?,ലോർഡ് കാനിംഗ്,ലോർഡ് കർസൺ,ലോർഡ് മൗണ്ട്ബാറ്റൺ,ലോർഡ് വാറൻ ഹേസ്റ്റിംഗ്സ്,a) ലോർഡ് കാനിംഗ്,1,
Malayalam,Social Science,ഇന്ത്യയിൽ സ്ഥാപിതമായ ആദ്യത്തെ യൂറോപ്യൻ കൊത്തളം ഏതാണ്?,കാലിക്കറ്റ്,സൂറത്ത്,ഗോവ,മദ്രാസ്,b) സൂറത്ത്,1,
Malayalam,Mathematics,7+3 എത്ര?,9,10,11,12,B. 10,1,
